20.00,0.66,32.88
10.00,0.63,28.19
5.00,0.56,18.92
20.00,0.93,91.51
10.00,0.83,64.17
5.00,0.72,42.84
20.00,0.20,0.54
10.00,0.30,0.50
5.00,0.18,1.09
20.00,0.56,19.17
10.00,0.42,5.80
5.00,0.49,11.50
20.00,0.90,81.99
10.00,0.77,50.62
5.00,0.61,25.33
20.00,0.92,87.57
10.00,0.85,68.68
5.00,0.78,52.55
20.00,0.67,33.86
10.00,0.58,21.45
5.00,0.39,3.98
20.00,0.57,19.91
10.00,0.45,8.08
5.00,0.40,4.56
20.00,0.89,78.47
10.00,0.82,61.28
5.00,0.67,34.27
20.00,0.88,76.76
10.00,0.83,64.17
5.00,0.69,37.57
20.00,0.58,20.68
10.00,0.49,11.28
5.00,0.43,6.54
20.00,0.87,75.08
10.00,0.78,53.16
5.00,0.57,20.13
20.00,0.93,91.51
10.00,0.82,62.71
5.00,0.65,31.13
20.00,0.92,87.57
10.00,0.83,64.17
5.00,0.66,32.68
20.00,0.72,42.31
10.00,0.49,11.86
5.00,0.52,14.46
20.00,0.34,1.81
10.00,0.41,5.39
5.00,0.32,0.96
20.00,0.71,40.10
10.00,0.63,27.29
5.00,0.44,7.28
20.00,0.45,8.08
10.00,0.43,6.67
5.00,0.41,5.19
20.00,0.82,61.28
10.00,0.54,17.00
5.00,0.45,8.05
20.00,0.71,50.06
10.00,0.63,33.29
5.00,0.52,18.90
