20.00,0.77,50.62
10.00,0.68,34.86
5.00,0.54,16.62
20.00,0.91,85.67
10.00,0.82,61.28
5.00,0.61,25.33
20.00,0.27,0.11
10.00,0.23,0.12
5.00,0.24,0.01
20.00,0.62,26.42
10.00,0.46,8.58
5.00,0.54,16.62
20.00,0.89,80.21
10.00,0.71,40.10
5.00,0.49,11.50
20.00,0.92,87.57
10.00,0.80,58.49
5.00,0.60,23.97
20.00,0.63,28.19
10.00,0.59,22.24
5.00,0.34,1.63
20.00,0.67,33.86
10.00,0.46,8.58
5.00,0.30,0.47
20.00,0.91,85.67
10.00,0.79,55.78
5.00,0.60,23.97
20.00,0.89,80.21
10.00,0.76,49.38
5.00,0.52,14.46
20.00,0.65,30.95
10.00,0.55,17.71
5.00,0.47,9.70
20.00,0.86,71.82
10.00,0.75,46.95
5.00,0.51,13.44
20.00,0.91,85.67
10.00,0.76,49.38
5.00,0.55,17.75
20.00,0.91,83.81
10.00,0.77,50.62
5.00,0.53,15.52
20.00,0.84,65.64
10.00,0.56,19.17
5.00,0.50,12.45
20.00,0.35,2.06
10.00,0.41,5.39
5.00,0.38,3.43
20.00,0.77,51.88
10.00,0.65,30.95
5.00,0.45,8.05
20.00,0.61,24.70
10.00,0.49,11.28
5.00,0.30,0.47
20.00,0.86,71.82
10.00,0.62,26.42
5.00,0.45,8.05
20.00,0.75,55.10
10.00,0.62,31.44
5.00,0.47,11.76
