10.00,72.73,4.82,9618.46
5.00,73.33,3.87,14670.08
10.00,100.00,3.74,22969.04
5.00,100.00,3.35,29552.75
10.00,88.89,6.11,8427.80
5.00,84.62,4.54,12852.97
10.00,100.00,3.74,22969.04
5.00,100.00,3.80,22212.85
10.00,100.00,3.23,32617.82
5.00,100.00,3.41,28321.39
10.00,82.35,6.53,6968.76
5.00,50.00,4.75,6200.57
10.00,62.50,7.00,4498.34
5.00,70.00,5.70,6990.00
10.00,69.23,8.85,3726.75
5.00,57.14,8.29,3202.64
10.00,100.00,3.81,22031.52
5.00,100.00,4.07,19302.20
10.00,75.00,7.00,5629.94
5.00,41.67,4.92,4653.28
10.00,84.00,4.12,15253.43
5.00,85.71,4.07,16000.88
10.00,100.00,3.06,37631.19
5.00,100.00,3.05,37983.98
10.00,100.00,3.33,29987.35
5.00,100.00,3.41,28321.39
10.00,52.63,5.79,4796.55
5.00,80.00,5.70,8233.85
10.00,52.94,6.65,3940.02
5.00,50.00,7.13,3327.14
10.00,68.75,7.00,5059.21
5.00,37.50,7.13,2318.99
10.00,87.50,4.33,14566.65
5.00,69.23,4.46,10365.01
