10.00,95.24,4.33,28262.00
5.00,100.00,4.24,32367.30
10.00,90.48,4.52,23233.10
5.00,88.24,4.29,26533.43
10.00,89.47,4.89,18432.94
5.00,100.00,5.25,17770.28
10.00,53.33,6.47,5330.28
5.00,57.14,4.71,11743.00
10.00,70.00,4.60,16164.37
5.00,83.33,5.17,14780.36
10.00,55.56,5.22,8747.79
5.00,71.43,4.79,14847.43
10.00,75.00,6.00,9383.23
5.00,83.33,5.17,14780.36
10.00,100.00,4.89,21102.21
5.00,60.00,5.80,7637.43
10.00,55.56,5.44,7952.54
5.00,45.45,5.45,6167.06
10.00,94.74,4.89,19760.89
5.00,80.00,4.53,19868.64
10.00,90.91,4.23,29014.90
5.00,84.62,4.92,16965.92
10.00,60.00,6.47,6168.69
5.00,64.71,4.29,18140.20
10.00,70.00,4.65,15674.54
5.00,80.00,5.80,10880.45
10.00,68.42,5.00,12573.60
5.00,58.33,5.17,9531.63
10.00,70.59,5.65,9871.50
5.00,55.56,6.22,6032.96
10.00,38.89,5.44,5090.32
5.00,12.50,6.75,760.77
10.00,35.29,5.59,4252.93
5.00,37.50,6.75,3169.29
